Data,BTC,IBOV,SPX,SELIC,IPCA,USD_BRL
2015-12-31,100.0,100.0,100.0,,,
2016-01-31,85.64683550054757,93.2087658592849,94.92646779530477,,,
2016-02-29,101.65595717118492,98.71741637831603,94.53457713338473,,,
2016-03-31,96.78610236618671,115.46712802768167,100.77301923153644,,,
2016-04-30,104.12270509672,124.36216839677047,101.04504574665629,,,
2016-05-31,123.41540422341515,111.8154555940023,102.59352090987339,,,
2016-06-30,156.3837908757636,118.86274509803923,102.68697552716932,,,
2016-07-31,145.08335531131274,132.1983852364475,106.34363826565239,,,
2016-08-31,133.65446108565146,133.56632064590542,106.21397953984113,,,
2016-09-30,141.6121080013855,134.64129181084198,106.08286357178673,,,
2016-10-31,162.80207436214187,149.76931949250286,104.02213192629031,,,
2016-11-30,173.1881456555648,142.80507497116494,107.57703854453511,,,
2016-12-31,223.83113710651475,138.93194925028837,109.53502266728366,,,
2017-01-31,225.37794268960428,149.1833910034602,111.49398624793328,,,
2017-02-28,274.05026600738165,153.77623990772778,115.6413573948713,,,
2017-03-31,248.92527149154014,149.90542099192618,115.59635010985457,,,
2017-04-30,313.0500150296067,150.87197231833912,116.64726065930896,,,
2017-05-31,531.0230431051671,144.66205305651673,117.9975986558971,,,
2017-06-30,576.1798205788875,145.09803921568627,118.56561257088826,,,
2017-07-31,667.803194583473,152.0645905420992,120.85971797823645,,,
2017-08-31,1092.3712891915334,163.40253748558246,120.92575971890992,,,
2017-09-30,1007.6736259781914,171.38177623990774,123.25998706637786,,,
2017-10-31,1502.298158336286,171.41407151095734,125.99489630765872,,,
2017-11-30,2376.772938968173,166.0230680507497,129.53316408619324,,,
2017-12-31,3287.850868311515,176.24452133794694,130.80668630519574,,,
2018-01-31,2373.8697902354547,195.87773933102653,138.1552364327761,,,
2018-02-28,2414.9321073578167,197.18800461361013,132.7744530623468,,,
2018-03-31,1619.6155326679009,196.92272202998845,129.20487846480248,,,
2018-04-30,2146.1352364078098,198.65051903114187,129.55615745765218,,,
2018-05-31,1740.535192917281,177.0565167243368,132.3556511973634,,,
2018-06-30,1487.3411587461715,167.8500576701269,132.99657500294435,,,
2018-07-31,1807.0219484706695,182.7450980392157,137.78731860021608,,,
2018-08-31,1634.4913348168973,176.88119953863898,141.95720533427107,,,
2018-09-30,1538.7989030123642,183.02652825836216,142.56681037623366,,,
2018-10-31,1467.2768854714204,201.67012687427913,132.67219526854944,,,
2018-11-30,933.0182490823647,206.46828143021912,135.04163532202307,,,
2018-12-31,869.2492830193654,202.73817762399077,122.64793337966249,,,
2019-01-31,803.0789253161445,224.66897347174162,132.29841263319136,,,
2019-02-28,895.2812280035628,220.49365628604383,136.2314975027407,,,
2019-03-31,953.4879425414699,220.10380622837368,138.673345773245,,,
2019-04-30,1242.7164031234647,222.26758938869665,144.12508011846185,,,
2019-05-31,1991.4443583123436,223.82929642445214,134.64485931520605,,,
2019-06-30,2512.3048498956573,232.91118800461362,143.92595154932323,,,
2019-07-31,2342.4062354191374,234.86043829296426,145.81543334203698,,,
2019-08-31,2236.740013462502,233.29873125720874,143.17739487609737,,,
2019-09-30,1926.266627986368,241.62629757785464,145.6373511731636,,,
2019-10-31,2136.621073670305,247.3356401384083,148.61298011055453,,,
2019-11-30,1758.0609121146142,249.6724336793541,153.6728118492428,,,
2019-12-31,1670.7270537668674,267.50634371395614,158.06628971074696,,,
2020-01-31,2171.67818227734,262.4244521337947,157.8089431195352,,,
2020-02-29,1997.252243437243,240.30449826989616,144.53555659128583,,,
2020-03-31,1495.3874169056955,168.44290657439447,126.45137146800911,,,
2020-04-30,2010.965538646431,185.7116493656286,142.4909740565491,,,
2020-05-31,2197.3488213294113,201.62168396770474,148.9432246477475,,,
2020-06-30,2122.3162619068257,219.27566320645906,151.6820517206328,,,
2020-07-31,2629.896662505912,237.3979238754325,160.03993321530467,,,
2020-08-31,2712.8926949874403,229.22491349480967,171.25307782700813,,,
2020-09-30,2504.718559363473,218.2306805074971,164.53516719704712,,,
2020-10-31,3200.6622808046513,216.7289504036909,159.98317243547461,,,
2020-11-30,4558.137658439024,251.1833910034602,177.1886643753722,,,
2020-12-31,6735.704696473886,275.2156862745098,183.7661661318269,,,
2021-01-31,7690.872836344417,267.6055363321799,181.71962468128797,,,
2021-02-28,10483.33267298985,253.82929642445214,186.46095343298802,,,
2021-03-31,13684.01060358064,269.0519031141868,194.3741013175142,,,
2021-04-30,13412.587970686985,274.2652825836217,204.5642260407278,,,
2021-05-31,8670.626563428164,291.15570934256056,205.6865653493117,,,
2021-06-30,8138.300675627068,292.50749711649365,210.25568867954502,,,
2021-07-31,9667.762893549063,280.97116493656284,215.03859661360792,,,
2021-08-31,10954.552723371105,274.00461361014993,221.27265504042174,,,
2021-09-30,10170.518397039468,256.00692041522495,210.7468987615591,,,
2021-10-31,14241.444191749855,238.75663206459055,225.31874785146354,,,
2021-11-30,13239.618369191638,235.09803921568627,223.44100760895452,,,
2021-12-31,10754.7598420534,241.80392156862746,233.18592093768044,,,
2022-01-31,8937.778845982786,259.2572087658593,220.92380080310772,,,
2022-02-28,10031.710691022403,260.9965397923875,213.99552172736242,,,
2022-03-31,10576.443910719954,276.81430219146483,221.65084523633482,,,
2022-04-30,8759.351324869927,248.84890426758938,202.15516572069347,,,
2022-05-31,7383.824485947406,256.8650519031142,202.16591586838857,,,
2022-06-30,4595.0403077677865,227.31718569780855,185.20015222209136,,,
2022-07-31,5420.038516335067,237.98154555940022,202.07492184045398,,,
2022-08-31,4656.595679624213,252.64821222606687,193.49883623678897,,,
